#gene	sample1	sample2	sample3	sample4	sample5	sample6
TBC1D31	505	594	630	398	362	126
FAM83A	187	156	63	67	41	97
C8orf76	11574	15769	12176	10017	6170	11923
ZHX1-C8orf76	11963	17426	33094	19005	10059	13667
ZHX1	2256	1664	2849	1259	3436	3136
ATAD2	643	955	1243	1803	655	528
WDYHV1	557	233	175	248	411	265
FBXO32	2447	1883	2830	2347	2718	2030
KLHL38	9706	26248	12860	9570	13672	6344
ANXA13	826	646	1663	860	1032	572
FAM91A1	1176	1097	2364	2464	1253	1574
FER1L6	763	286	820	462	285	337
TMEM65	3149	5128	4678	2750	2266	2840
TRMT12	2792	2593	992	1411	1389	2372
RNF139	3386	4494	2810	2106	2023	1829
TATDN1	981	2557	1698	535	1061	813
NDUFB9	8003	3653	3268	4530	3588	4943
MTSS1	1257	1417	1401	1200	1227	756
ZNF572	4504	2638	1693	1041	1677	2987
SQLE	4187	2362	4281	1033	4501	1406
KIAA0196	27	21	18	6	8	17
NSMCE2	906	4915	4912	3299	4222	5426
TRIB1	223	224	356	108	360	145
FAM84B	3017	2236	1744	2047	998	1912
POU5F1B	4266	2097	3981	3486	1000	2335
AC108925.1	2078	1214	330	173	686	690
MYC	7669	3408	4328	3307	2451	3929
AC026248.1	3092	1577	2099	2002	1380	1662
GSDMC	6826	8919	5708	5295	6310	7557
FAM49B	1030	383	807	573	435	272
ASAP1	1856	1323	1595	606	2040	613
ADCY8	2254	1746	2737	3072	718	1946
EFR3A	4072	6206	2679	2516	3529	7247
OC90	1866	1492	1208	1849	1157	1365
RP11-240B13.2	593	502	551	499	509	529
HHLA1	98	20	115	19	34	22
KCNQ3	4916	9821	10545	5660	6835	5270
LRRC6	1413	1545	610	931	508	834
TMEM71	2326	1026	881	530	734	864
PHF20L1	7180	1839	3470	5986	3386	4269
TG	8508	10022	10357	10157	15661	15465
SLA	438	600	476	301	294	355
WISP1	342	888	379	916	236	305
NDRG1	328	400	331	165	263	175
ST3GAL1	448	375	756	1102	423	257
ZFAT	16417	13979	13842	13715	13123	11178
KHDRBS3	1504	1155	2055	1087	3109	1873
FAM135B	17509	12091	12835	15360	16412	9889
COL22A1	280	364	284	317	468	499
KCNK9	196	186	468	178	213	304
TRAPPC9	3696	4213	6556	1632	2511	4249
CHRAC1	2967	7817	7067	3716	4839	6329
AGO2	303	138	227	151	370	337
PTK2	1610	712	1676	1128	1327	999
AC105009.1	440	551	511	796	939	423
DENND3	1227	1209	849	2275	1886	1636
SLC45A4	2937	6838	2225	3252	2299	4497
GPR20	1943	1904	2800	2300	2695	1559
PTP4A3	45	30	40	56	42	69
AC138647.1	5284	9473	4815	8524	3605	5416
TSNARE1	488	538	448	401	220	676
ADGRB1	1619	1988	5303	2830	1555	2858
ARC	436	1028	825	806	395	600
JRK	5092	3869	3977	2690	2463	3899
PSCA	570	372	988	771	228	318
LY6K	7909	6858	8331	5046	4680	6950
THEM6	3313	5787	2231	1708	1693	1650
SLURP1	1343	1363	1525	846	1191	2142
LYPD2	1720	1654	1199	1315	625	661
LYNX1	6188	6644	6003	3028	4518	3441
LY6D	331	1011	481	958	683	781
GML	4614	615	5126	1113	2204	2653
CYP11B1	969	256	920	249	1053	1053
CYP11B2	1812	1536	1603	1749	1298	1111
LY6E	4964	4181	4423	3595	3098	3386
LY6L	849	1827	811	1521	1701	1563
LY6H	7702	13439	3257	5537	3260	4544
GPIHBP1	422	490	381	315	432	389
ZFP41	2092	3764	2986	1497	2250	2998
RP13-582O9.6	2820	5409	4051	6258	2206	2566
GLI4	3493	2610	2912	2679	2230	2103
ZNF696	1020	527	488	524	329	357
TOP1MT	2697	4305	2195	2074	2520	2226
RHPN1	9148	19887	7279	10485	16312	12253
MAFA	1436	824	771	804	800	884
ZC3H3	4855	4161	3027	1882	5955	4565
GSDMD	2607	2374	3788	4549	4865	3177
MROH6	1047	1033	843	797	705	971
NAPRT	891	456	540	389	190	625
EEF1D	2850	7295	8366	2759	5365	2271
TIGD5	14812	9448	5043	5528	4483	9101
PYCRL	423	576	160	401	335	359
TSTA3	96	275	319	197	318	180
ZNF623	269	267	565	151	197	514
ZNF707	2152	4455	2594	1715	903	2781
CCDC166	8600	9698	9305	6218	6375	9262
MAPK15	2519	5350	1687	2348	2176	1099
FAM83H	3222	877	2168	1411	844	1741
FAM83H-AS1	2864	2817	2541	1611	1321	5107
SCRIB	843	1508	1813	2351	1681	1379
PUF60	1333	1199	883	546	633	356
NRBP2	5297	2875	5776	8129	4779	6359
EPPK1	680	1453	1151	932	536	379
PLEC	2933	3024	4068	2725	6564	5018
PARP10	6602	1747	5715	3391	5856	2609
GRINA	3349	1111	2185	2954	4979	956
SPATC1	4190	4667	8607	2208	4415	3660
OPLAH	3433	6288	2288	6236	6927	2869
EXOSC4	853	1195	758	612	618	733
GPAA1	680	1629	942	1221	984	287
CYC1	969	1655	1894	633	870	968
SHARPIN	5272	5948	4004	4870	2239	4018
MAF1	5222	6206	11989	4537	5110	5478
WDR97	1145	403	672	308	823	307
HGH1	2474	2092	2659	2978	1038	1682
MROH1	5215	3944	3444	3696	4392	4296
BOP1	2261	994	1970	2297	1513	2321
SCX	456	204	311	340	247	256
HSF1	2336	2581	1428	1598	1953	1484
DGAT1	1449	1115	845	548	980	580
SCRT1	4956	4462	3467	1726	2990	7405
TMEM249	4177	4286	2408	1680	5058	3526
GS1-393G12.13	131	195	116	112	43	109
SLC52A2	7078	5071	3032	4459	1918	7935
FBXL6	37144	8838	9437	11874	10045	16764
ADCK5	5329	5257	9238	5378	4604	1992
CPSF1	1012	1427	1962	1327	1493	524
SLC39A4	11336	11795	6283	8200	7056	6172
VPS28	3260	3313	2141	3143	2273	1934
TONSL	881	1610	274	789	342	637
CYHR1	5832	7692	8211	11424	5775	8545
KIFC2	10891	10366	6444	3593	6730	6984
FOXH1	3208	1781	3558	1020	2055	1718
PPP1R16A	1433	1167	1139	403	1204	744
GPT	345	598	315	273	810	283
MFSD3	23528	28682	9636	9752	15179	11161
RECQL4	1217	1467	1137	802	1226	676
LRRC14	6104	17637	4910	8992	7853	4833
LRRC24	398	845	989	560	1148	1014
C8orf82	2540	4788	2572	2639	3483	2383
ARHGAP39	1342	1128	1556	509	2175	1889
ZNF251	39	27	38	30	24	26
ZNF34	3194	5230	6649	2633	2392	3496
RPL8	1868	1141	1476	1097	1988	3316
ZNF517	5852	6178	2284	4737	1524	6122
ZNF7	1036	2083	1338	1562	336	695
COMMD5	10625	4765	4617	10825	3243	8383
ZNF250	4941	2330	2893	3045	4231	3619
ZNF16	2754	1955	4144	3428	3148	2118
C8orf33	1509	488	1427	615	692	817
WASH1	5178	8954	10535	4152	6267	3206
FOXD4	923	479	659	555	806	548
CBWD1	2263	3821	2959	987	2968	2711
C9orf66	3218	4788	5248	1290	3514	3561
DOCK8	237	132	150	135	237	76
KANK1	99	23	79	54	59	71
DMRT1	755	182	763	647	672	627
DMRT3	5452	3401	3027	2800	2843	2172
DMRT2	2729	878	3505	2638	2392	3583
SMARCA2	2957	5369	7278	3407	6362	4636
VLDLR	2840	1592	3117	4072	3114	7338
KCNV2	3153	3039	3380	3035	3658	3437
PUM3	13078	9383	5897	5764	4987	8951
RFX3	1892	1361	905	1705	1375	1650
AL365202.1	1838	3729	4747	1808	2967	2808
GLIS3	3268	9377	5230	1655	999	5446
SLC1A1	1468	1790	1089	278	1300	807
SPATA6L	1775	1141	1513	3439	901	1406
PLPP6	2536	3685	527	1135	2100	789
CDC37L1	14940	6779	9956	8866	7266	6811
AK3	2100	1136	1500	1126	2559	2766
RCL1	1134	1749	1102	700	577	1503
JAK2	2807	3888	4917	1250	2809	1700
INSL6	3746	3992	3539	2987	3822	1972
INSL4	797	1172	1192	1214	884	1752
RLN2	8931	15106	15821	6203	7513	3861
RLN1	905	1429	624	655	1915	703
PLGRKT	12354	8156	12811	11348	8541	11445
CD274	1491	3132	2107	1899	2227	2306
PDCD1LG2	1131	1683	1042	889	646	681
RIC1	5777	1925	6611	1829	6196	3872
ERMP1	24	63	17	6	11	18
KIAA2026	1463	1918	1553	1063	515	650
MLANA	620	836	784	406	341	606
RANBP6	6999	3198	4517	1892	2242	2352
IL33	4406	4308	3088	2571	9013	2211
TPD52L3	4526	6417	4536	2241	2676	1555
UHRF2	6781	5487	3968	4607	3144	2124
GLDC	446	980	1532	490	773	558
RP11-146B14.1	2015	1445	2231	1248	1129	2004
AL513412.1	2101	1521	2513	5866	3559	2738
KDM4C	3134	3393	2756	7987	1973	4124
TMEM261	1216	816	1884	1286	1209	1215
PTPRD	1740	1299	1547	1102	1183	1126
TYRP1	151	212	106	135	87	64
LURAP1L	788	1205	2115	1523	1598	748
MPDZ	1981	1226	1800	1633	5188	2167
NFIB	2	3	4	5	0	5
ZDHHC21	2341	2012	917	1949	1566	2098
CER1	3649	7287	4358	5195	3878	3762
FREM1	19	8	20	12	5	20
TTC39B	4009	4991	3923	7151	3390	9838
SNAPC3	1660	737	1164	566	986	924
PSIP1	2017	2291	1171	1945	1461	2914
CCDC171	3846	4148	6677	2421	3262	3517
C9orf92	8459	17190	12278	7233	11494	10044
BNC2	2187	1292	1400	940	1032	1233
CNTLN	971	1211	1598	892	999	834
SH3GL2	1919	2126	2622	2723	2749	2107
ADAMTSL1	477	552	754	483	712	1184
SAXO1	2314	2191	2002	2196	2297	1503
RRAGA	1791	3548	2348	1064	2121	1434
HAUS6	2332	927	1609	635	990	667
PLIN2	4836	2283	3172	1850	892	2113
DENND4C	998	1590	1063	897	1774	662
RPS6	126	145	123	214	144	110
ACER2	726	720	368	510	526	1059
SLC24A2	1956	1264	4640	1917	2662	2506
MLLT3	809	220	752	142	556	477
FOCAD	4261	4371	1834	916	3257	2063
HACD4	4485	2309	1523	2717	6344	4828
IFNB1	4445	6044	5786	6714	6872	5226
IFNW1	8371	19179	10849	5641	5434	8115
IFNA21	2141	2791	3093	1266	1250	2314
IFNA4	16872	5903	5414	6849	4674	10437
IFNA7	3924	8140	4125	9210	8335	5151
IFNA10	321	413	374	252	201	410
IFNA16	3282	5327	1584	5342	3388	1143
IFNA17	13179	15135	10250	6590	6659	2583
IFNA14	2605	1670	1013	1250	1151	1836
IFNA5	614	899	972	781	393	1390
KLHL9	2161	1597	3502	2547	2979	2057
IFNA6	1374	2102	611	1196	588	776
IFNA13	30	18	36	36	22	34
IFNA2	3310	4119	4562	1983	4551	1957
IFNA8	886	851	718	992	1046	694
IFNA1	2177	4092	2721	8705	7201	745
IFNE	1108	1523	773	2421	2713	927
MTAP	1129	1142	892	1151	766	1212
RP11-145E5.5	3429	2157	1486	1541	2169	1647
CDKN2A	979	393	282	690	826	667
CDKN2B	2567	2880	5065	1467	940	780
DMRTA1	254	261	288	344	172	198
ELAVL2	97	130	177	248	206	80
IZUMO3	652	572	709	455	386	499
TUSC1	19625	15701	7533	7360	3270	8639
CAAP1	726	554	692	360	704	737
PLAA	1509	1291	986	1044	1259	620
IFT74	7194	6920	3228	3419	6723	3489
LRRC19	159	144	54	212	78	241
TEK	799	786	1181	1011	504	872
EQTN	7004	6620	6591	4858	2683	3379
MOB3B	1551	1557	1627	1568	905	2106
IFNK	5486	12304	17260	8780	6758	9679
C9orf72	3342	2785	3964	3912	2493	1195
LINGO2	6140	8645	4234	8739	2929	3678
ACO1	2056	1743	598	1456	1424	2464
DDX58	2163	1253	879	1930	1088	1118
TOPORS	839	604	930	675	764	570
TOPORS-AS1	1053	986	2673	986	684	1102
NDUFB6	3811	7069	5784	4147	6670	3071
GVQW1	15809	12406	16854	11950	11022	10802
TAF1L	5300	3482	2936	3423	3702	2522
TMEM215	4707	2236	5304	1812	3463	4974
APTX	2667	1793	2966	2262	2374	3649
DNAJA1	7127	2693	6032	4447	5259	3876
SMU1	886	2718	866	781	1728	1554
B4GALT1	4553	1673	2914	1228	2031	2930
SPINK4	8568	9329	11597	10572	6686	8782
BAG1	394	147	472	80	239	80
CHMP5	5176	6360	3776	4730	1875	3824
NFX1	2068	2983	2873	3044	1700	4627
AQP7	65	90	75	60	22	81
AQP3	1238	1674	923	604	886	855
NOL6	7104	13765	13096	4629	3756	7344
ANKRD18B	5215	2118	3208	848	1236	1603
PRSS3	4587	8429	9256	4433	5498	4025
UBE2R2	2321	2642	3654	2118	2206	935
UBAP2	12484	4847	13545	10131	9755	3899
DCAF12	112	250	130	142	187	79
UBAP1	4593	9458	9370	9632	6354	6832
KIF24	5294	6129	4308	5106	2551	7377
NUDT2	363	354	144	504	303	469
KIAA1161	4175	2966	5761	5267	2723	3117
C9orf24	13867	19580	6504	6290	6684	9804
FAM219A	2306	1252	971	1975	1435	1062
DNAI1	156	220	97	205	95	198
ENHO	1219	739	658	182	421	497
CNTFR	1563	857	1075	454	116	1006
RPP25L	2130	3328	4425	1807	1800	1117
DCTN3	8956	19031	7900	20277	6908	13375
ARID3C	2339	2986	2485	1647	2236	2031
SIGMAR1	126	97	90	64	117	45
GALT	4426	3869	4203	6893	3834	6788
RP11-195F19.29	1804	1635	940	1050	733	1057
IL11RA	4252	5910	3237	4483	1713	1467
CCL27	6742	2490	588	2419	2394	2570
RP11-195F19.5	3742	974	976	2442	2085	1709
CCL19	1882	2656	4205	1276	2197	1954
CCL21	3141	2151	3028	3224	3214	1532
FAM205A	3414	8454	2276	2620	4523	2602
FAM205C	807	1238	2223	2233	1569	270
PHF24	1839	2731	1837	1987	839	1231
DNAJB5	1827	3995	3450	2194	3194	1571
C9orf131	4531	2049	5106	3103	3940	2735
VCP	2328	1484	1925	1857	1594	2369
FANCG	603	1061	487	343	317	566
PIGO	1207	705	2509	2098	1489	858
STOML2	6506	5264	4987	1043	6385	4928
FAM214B	978	2273	913	1004	635	728
UNC13B	429	555	1477	674	906	703
RUSC2	448	1106	330	566	355	346
FAM166B	2858	3667	1884	5414	1845	1562
TESK1	2569	3623	2849	1677	2009	1913
CD72	11010	3493	2962	7126	7077	10045
SIT1	1443	2132	2547	1440	1475	663
CCDC107	655	1203	1299	359	607	352
ARHGEF39	788	1201	862	1012	792	1112
CA9	2527	3634	1791	557	8185	3335
TPM2	549	515	1568	795	391	1460
TLN1	507	322	501	610	294	544
CREB3	286	93	295	201	136	169
GBA2	1761	1146	2208	1278	640	1049
RGP1	483	776	764	318	464	677
MSMP	805	1575	638	576	1042	575
NPR2	2443	4874	1663	4114	5061	4902
SPAG8	5666	2101	2398	1783	3056	2326
HINT2	1416	1061	1795	813	699	978
TMEM8B	4544	3771	3828	3744	2953	2625
FAM221B	1168	2604	2762	1875	2024	1396
OR13J1	7968	2866	9380	8116	14514	6482
HRCT1	6552	4461	5116	3960	1368	2750
LINC00961	3008	5935	5231	2839	2728	2084
OR2S2	5084	2172	3563	2021	2344	4905
RECK	15949	12587	10595	3681	9480	6759
GLIPR2	541	264	282	668	471	572
CCIN	982	398	487	282	645	558
CLTA	459	504	954	508	462	492
GNE	1714	5010	2199	2352	971	2166
RNF38	1509	641	696	502	499	780
MELK	14058	6452	19613	7578	8485	6710
PAX5	2240	2544	2427	2524	1869	1490
ZCCHC7	30	89	50	42	20	54
GRHPR	14974	8077	8815	6279	7053	5886
ZBTB5	3797	1326	2911	4319	2900	3484
POLR1E	3729	4591	4406	3142	3459	3792
FBXO10	607	202	623	150	408	205
RP11-613M10.8	412	482	1050	418	274	546
TOMM5	488	309	210	401	361	546
RP11-613M10.9	1339	1856	1638	1121	839	784
FRMPD1	1750	1254	892	899	772	402
TRMT10B	1594	2690	1128	2190	2599	1988
EXOSC3	854	1379	450	394	731	873
DCAF10	2158	2965	2716	1684	734	786
SLC25A51	1515	2087	1928	2074	1132	2309
SHB	2953	1560	3910	1831	2335	2829
ALDH1B1	1916	1324	1428	915	1518	495
IGFBPL1	299	195	162	341	392	294
RP11-392E22.9	2247	5042	3126	2032	1959	2267
ANKRD18A	1588	1691	713	471	573	2360
RP13-198D9.4	15381	11071	9326	8085	21238	8906
CNTNAP3	399	275	227	195	248	128
SPATA31A1	1585	1148	1172	1221	1121	1436
ANKRD20A2	7927	6221	5626	6749	6524	6511
FOXD4L6	4535	9042	6315	9196	4070	4387
CBWD7	98	149	129	85	60	166
CNTNAP3B	313	213	167	213	141	167
SPATA31A6	2069	2697	1986	1833	709	2613
FP325317.1	1198	2056	2468	2772	2373	3935
SPATA31A5	4882	4259	4524	7486	3810	5951
SPATA31A7	2657	3157	1995	1324	1794	2600
CH17-296N19.1	194	143	323	140	343	308
ANKRD20A4	1207	1863	1226	2542	1251	1052
FOXD4L5	3726	3401	3599	1247	1814	2884
CBWD5	3680	1236	2149	2173	1881	1025
FOXD4L4	3103	10799	3022	2480	4886	3162
ANKRD20A3	4222	2401	3190	3405	3378	1609
ZNF658	473	1503	1719	1568	1215	726
SPATA31A3	2462	5423	2147	1878	4161	3306
ANKRD20A1	2211	4049	7509	6784	2558	2214
CBWD3	1588	785	847	1292	2009	1170
FOXD4L3	108	246	251	135	337	204
PGM5	593	953	1075	439	805	686
TMEM252	524	433	294	541	534	420
PIP5K1B	455	512	943	538	1053	343
FAM122A	2915	2315	1680	1294	3892	1111
PRKACG	355	366	653	293	576	650
FXN	57	28	51	38	21	29
TJP2	2541	3450	5035	7273	1691	3291
AL358113.1	1136	430	1252	924	284	513
FAM189A2	1866	710	1518	946	492	672
APBA1	2571	4135	6041	4460	2074	5798
PTAR1	2274	3689	2667	2465	2796	2019
C9orf135	1797	1597	2093	1444	578	2250
MAMDC2	7759	5942	13695	14960	11237	9761
SMC5	4773	2800	3170	2407	2702	3296
KLF9	492	881	998	614	633	327
TRPM3	9389	6449	8887	6810	6282	5228
TMEM2	377	385	463	410	338	408
ABHD17B	2311	1793	790	1379	2588	1190
AL138751.1	11488	2263	7362	7499	4753	3459
C9orf85	957	376	656	426	360	179
C9orf57	4840	792	2060	1241	1931	2022
GDA	718	1208	503	1113	449	788
ZFAND5	1020	1446	3205	1159	827	848
TMC1	1176	1616	2180	1550	1058	1252
ALDH1A1	1072	1209	767	841	677	286
ANXA1	191	588	468	560	304	439
RORB	31667	8118	6682	10710	13303	9345
TRPM6	3105	1451	2391	1264	2906	4483
C9orf40	1295	2372	1574	937	1184	1163
CARNMT1	1721	1152	1053	937	2561	2299
NMRK1	1453	4267	5323	3189	1159	1575
OSTF1	132	205	304	138	86	148
PCSK5	10147	9969	9540	13629	6574	12552
RFK	1111	1931	2962	1058	648	1112
GCNT1	1466	1371	1162	1228	831	712
PRUNE2	1280	931	960	1581	458	1178
FOXB2	7019	6755	6362	7610	4360	4410
VPS13A	8339	5591	4830	5194	4419	4574
GNA14	5568	6276	15178	4999	8104	9474
GNAQ	1651	2428	2080	3586	5255	4007
CEP78	1199	769	1970	700	533	1513
PSAT1	733	755	892	452	371	817
TLE4	2868	1590	2123	2627	784	1739
TLE1	1151	2007	2077	902	769	785
SPATA31D4	3465	4014	9300	3352	3523	1872
SPATA31D3	469	672	435	318	503	260
SPATA31D1	2919	3068	2439	2511	3796	1510
RASEF	7928	8493	4729	4178	4984	2939
FRMD3	7493	8199	10519	4174	3556	4634
IDNK	2556	867	2948	2467	1319	1053
UBQLN1	3784	6142	3946	3954	8590	2352
GKAP1	1898	2112	974	1921	1485	459
KIF27	191	192	147	82	109	67
C9orf64	1518	1111	1095	623	920	1758
HNRNPK	928	717	523	723	436	812
RMI1	566	859	779	418	560	510
SLC28A3	4104	3471	3419	2006	3652	4063
NTRK2	519	215	1106	346	478	638
AGTPBP1	4654	4046	5018	3549	2921	2534
NAA35	5277	7703	4628	7628	9469	10950
GOLM1	1697	2204	868	2005	2807	687
C9orf153	1195	1433	2452	1437	1080	1269
ISCA1	10095	11568	12685	10191	5334	7614
ZCCHC6	1384	1287	1070	1193	1794	1678
GAS1	5322	1676	3987	1598	1990	1961
DAPK1	1492	1698	2006	1594	2027	3776
CTSL	4874	9308	7287	3634	4022	1814
SPATA31E1	1387	1523	1877	2175	2921	1535
RP11-350E12.6	68	70	61	32	38	102
CDK20	2707	3084	2672	4415	2550	5918
SPIN1	1799	3205	2552	1074	3104	3828
NXNL2	1005	626	1524	454	736	660
C9orf47	1607	1260	643	1115	1762	1582
S1PR3	12885	18066	7604	9746	4585	15491
SHC3	2377	1672	1018	301	532	830
CKS2	10170	6615	7959	4230	12924	5497
SECISBP2	1444	939	1850	1365	1541	1162
SEMA4D	7344	5873	5738	4113	2834	3668
GADD45G	497	684	319	258	354	478
DIRAS2	7074	6470	8558	2538	6754	2545
SYK	6950	8624	16660	11721	9595	7374
AUH	383	438	294	402	432	346
NFIL3	501	260	399	424	156	483
ROR2	2603	4020	6602	2245	2160	3662
SPTLC1	12919	5761	4191	12411	4744	8303
IARS	810	938	1300	406	489	1040
AL136097.1	13901	9420	7376	8234	5413	5351
NOL8	4422	1587	3300	1971	2342	2955
CENPP	548	1117	651	672	339	319
OGN	4649	1730	1146	1723	1312	769
OMD	6735	7979	4295	2110	6652	3954
ASPN	5907	3851	12151	13213	3401	11696
ECM2	236	441	359	243	317	252
IPPK	1400	1912	2169	1450	1825	848
BICD2	2221	3441	2627	1810	1054	1517
ZNF484	1209	942	880	1119	1058	576
FGD3	19	15	22	19	14	3
SUSD3	502	797	1312	642	422	570
CARD19	1035	882	1091	950	657	1630
NINJ1	552	669	651	134	620	1145
WNK2	213	88	97	83	89	149
C9orf129	2524	2394	1603	1411	2755	3247
FAM120AOS	204	943	537	578	680	288
FAM120A	5469	3004	2922	2978	2316	2585
PHF2	1481	1732	1485	1053	1284	910
BARX1	1893	946	2004	896	983	2185
PTPDC1	2062	6272	2413	3749	3763	3882
ZNF169	1961	1165	1241	1063	572	1224
NUTM2F	99	233	110	76	51	105
MFSD14B	3320	3397	2579	2035	1290	2448
FBP2	3354	3878	1204	1169	2363	2501
FBP1	2136	2848	1279	416	2244	2583
C9orf3	1250	1287	1325	542	725	1647
FANCC	4120	6387	5757	3612	4420	4257
PTCH1	5271	5107	3812	3795	1591	2312
ERCC6L2	3803	5779	1236	875	2472	1453
HSD17B3	1383	1670	3038	1688	1654	1899
SLC35D2	1765	843	1011	634	621	220
ZNF367	111	203	111	115	192	139
HABP4	1073	2626	401	1695	1222	1514
CDC14B	802	1312	987	1317	1196	1348
AAED1	2935	2495	3548	867	1948	2483
ZNF510	1741	2227	1770	1335	844	428
ZNF782	867	311	1053	537	569	306
MFSD14C	7143	6757	5131	10468	3172	5972
NUTM2G	1732	3248	2847	2990	1221	1219
CTSV	2815	3785	5035	4092	2754	1977
CCDC180	341	265	206	268	276	126
TDRD7	1142	1552	1726	648	1644	1256
TMOD1	425	532	585	325	359	263
TSTD2	3711	2529	4048	1946	3453	2438
NCBP1	406	513	322	461	302	425
XPA	522	938	375	874	546	1063
FOXE1	14975	3995	13386	17522	8815	5106
TRMO	1089	2107	1123	1809	1564	471
HEMGN	4449	3552	5416	2889	6137	3572
ANP32B	321	304	240	269	463	264
NANS	566	1988	1194	2128	963	899
TRIM14	2199	1242	1395	768	1227	1312
CORO2A	4455	2370	3569	1360	2694	1256
TBC1D2	2530	1075	835	2667	2421	578
GABBR2	1291	994	1953	822	346	610
ANKS6	1276	1843	1167	1649	1671	2293
GALNT12	1952	1720	2368	2173	2059	1446
COL15A1	842	1860	846	763	407	1029
TGFBR1	1431	539	1349	1140	723	468
ALG2	5	36	24	13	14	16
SEC61B	4701	2657	2238	2803	3203	3203
NR4A3	1080	3057	2346	2053	2168	1694
STX17	955	2436	837	797	936	935
ERP44	12824	28886	33518	9027	9011	12319
INVS	5809	4447	5699	1295	4969	3142
TEX10	9107	8883	13115	7969	2861	4453
MSANTD3	1454	3087	1588	1654	1683	1615
MSANTD3-TMEFF1	3592	1658	3098	3468	2016	1746
TMEFF1	1999	11356	12713	7651	3559	5686
MURC	1701	2155	2433	3260	4016	2721
PLPPR1	507	360	248	158	199	370
BAAT	4404	2840	1225	2170	1689	2413
MRPL50	5756	7310	6389	2939	9340	3059
ZNF189	92	46	17	27	61	16
ALDOB	5254	1644	3674	3509	3337	2522
TMEM246	1101	874	4017	784	720	1477
RNF20	154	444	325	302	268	216
GRIN3A	1351	1176	893	287	687	1796
PPP3R2	3549	2520	1778	2910	3726	1939
CYLC2	1052	1135	2422	861	711	955
SMC2	2969	4426	2831	5028	3899	6974
OR13F1	4856	4579	8879	8998	6536	3856
OR13C4	1982	3179	2991	1107	1337	2283
OR13C3	4518	5856	9174	2898	6989	4994
OR13C8	14815	6034	11016	7967	8532	10627
OR13C5	136	170	218	132	162	150
OR13C2	10049	13504	12328	9469	10957	12994
OR13C9	3085	2430	2509	1174	3483	2527
OR13D1	462	394	227	224	208	177
NIPSNAP3A	329	531	602	365	378	380
NIPSNAP3B	545	1014	1061	759	1610	1189
ABCA1	1157	3505	1975	3103	2526	3654
SLC44A1	175	330	311	246	213	404
FSD1L	2853	1596	2971	2248	2521	1808
FKTN	3551	5188	3963	3312	4033	3572
TAL2	3241	3719	4903	3620	3718	3110
TMEM38B	90	89	229	83	117	77
ZNF462	11925	4337	2848	3556	5560	2302
RAD23B	64	12	19	25	52	51
KLF4	541	1099	680	657	435	553
ACTL7B	333	534	205	296	369	182
ACTL7A	498	614	432	353	174	235
IKBKAP	3230	2281	2975	1382	2833	3421
FAM206A	1708	1390	975	798	1413	744
CTNNAL1	2267	2721	2282	2287	1780	1797
TMEM245	43230	15556	16134	14175	6135	11318
FRRS1L	9406	5792	3259	5125	3410	7126
EPB41L4B	1507	1124	1286	1044	436	807
PTPN3	234	883	401	889	653	430
PALM2	1666	1090	1764	429	1797	1048
PALM2-AKAP2	919	910	1938	754	1093	1395
AKAP2	2396	1611	3867	2131	2094	1367
C9orf152	602	392	486	397	267	450
TXN	1422	2449	797	1531	1825	1225
TXNDC8	8445	7695	5333	7337	6907	5528
SVEP1	2194	1520	1214	884	749	2511
MUSK	3988	4962	2115	1719	1806	3347
LPAR1	547	629	387	281	395	107
OR2K2	108	117	248	70	208	131
KIAA0368	114	375	187	283	172	143
ZNF483	5769	5738	5960	2120	2648	5389
AL135787.1	3936	5180	1951	3392	2496	2793
PTGR1	2221	1685	2065	1636	1899	1936
DNAJC25	4249	4577	5332	3074	4552	2378
DNAJC25-GNG10	603	326	507	795	281	333
GNG10	4628	3895	3914	7010	5451	4565
C9orf84	4302	4393	3840	3554	3507	4232
UGCG	6126	14104	7866	1697	5922	4529
SUSD1	310	210	115	124	162	105
PTBP3	5819	6499	6646	8134	3820	4460
HSDL2	428	295	454	139	299	231
KIAA1958	421	1616	1353	442	779	1002
INIP	940	1171	1910	691	1555	1097
SNX30	1485	1140	2033	1822	1584	727
SLC46A2	2426	2577	3882	2187	2844	2326
ZNF883	4889	8787	3174	7091	3278	6135
ZFP37	4115	3532	5000	5087	4624	2284
SLC31A2	4778	5122	3756	4803	4487	8683
FKBP15	906	1188	1305	1065	499	521
SLC31A1	1889	1530	1817	1152	1481	1456
CDC26	3691	3812	6516	3441	3134	4844
PRPF4	1853	2149	1599	1404	1111	1739
RNF183	1354	3204	1316	1199	1493	1892
WDR31	1759	3359	1651	954	1261	1185
BSPRY	2679	2657	799	1894	2229	1996
HDHD3	5777	5385	3310	4146	4147	5352
ALAD	5436	3795	5114	7782	3039	3127
POLE3	2899	1101	2915	1898	1280	1381
C9orf43	1804	1556	2881	1758	1712	2377
RGS3	3362	3178	1638	1878	1572	1286
ZNF618	3734	2005	1370	1153	2043	1747
AMBP	1493	2206	2766	1162	1760	1766
KIF12	2716	7008	6075	4179	4814	1496
COL27A1	835	590	1048	564	550	482
ORM1	4285	14066	6670	5370	7100	2396
ORM2	718	644	651	480	750	350
AKNA	81	102	159	164	188	132
WHRN	7774	9082	10713	3612	2568	1430
ATP6V1G1	549	885	609	474	234	425
C9orf91	1690	1000	1121	141	981	483
RP11-402G3.5	3884	4339	4256	4710	4933	3101
